prompt_id,valid_schema_flag,extracted_complaint_category,expected_complaint_category,obvious_misinterpretation_flag,notes
noisy_01,1,prescription_admin,prescription_admin,0,
noisy_02,1,tests_monitoring,tests_monitoring,0,
noisy_03,1,respiratory,respiratory,0,
noisy_04,1,administrative,administrative,0,
noisy_05,1,general_review,general_review,0,
noisy_06,1,urinary,urinary,0,
noisy_07,1,prescription_admin,prescription_admin,0,
noisy_08,1,respiratory,respiratory,0,
noisy_09,1,administrative,administrative,0,
noisy_10,1,general_review,general_review,0,
noisy_11,1,tests_monitoring,tests_monitoring,0,
noisy_12,1,urinary,urinary,0,
noisy_13,1,prescription_admin,prescription_admin,0,
noisy_14,1,tests_monitoring,tests_monitoring,0,
noisy_15,1,general_query,administrative,1,Complaint category differs from expected label.
noisy_16,1,general_review,general_review,0,
noisy_17,1,urinary,urinary,0,
noisy_18,1,respiratory,respiratory,0,
noisy_19,1,administrative,administrative,0,
noisy_20,1,general_review,general_review,0,
noisy_21,1,tests_monitoring,tests_monitoring,0,
noisy_22,1,respiratory,respiratory,0,
noisy_23,1,urinary,urinary,0,
noisy_24,1,prescription_admin,prescription_admin,0,
noisy_25,1,administrative,administrative,0,
noisy_26,1,general_review,general_review,0,
noisy_27,1,respiratory,respiratory,0,
noisy_28,1,tests_monitoring,tests_monitoring,0,
noisy_29,1,urinary,urinary,0,
noisy_30,1,general_query,prescription_admin,1,Complaint category differs from expected label.
noisy_31,1,administrative,administrative,0,
noisy_32,1,general_review,general_review,0,
noisy_33,1,tests_monitoring,tests_monitoring,0,
noisy_34,1,respiratory,respiratory,0,
noisy_35,1,urinary,urinary,0,
noisy_36,1,prescription_admin,prescription_admin,0,
noisy_37,1,general_query,administrative,1,Complaint category differs from expected label.
noisy_38,1,general_review,general_review,0,
noisy_39,1,respiratory,respiratory,0,
noisy_40,1,tests_monitoring,tests_monitoring,0,
noisy_41,1,urinary,urinary,0,
noisy_42,1,prescription_admin,prescription_admin,0,
noisy_43,1,administrative,administrative,0,
noisy_44,1,general_review,general_review,0,
noisy_45,1,respiratory,respiratory,0,
noisy_46,1,tests_monitoring,tests_monitoring,0,
noisy_47,1,urinary,urinary,0,
noisy_48,1,general_review,prescription_admin,1,Complaint category differs from expected label.
noisy_49,1,administrative,administrative,0,
noisy_50,1,general_review,general_review,0,
