story_id,raw_exact_rate_pct,canonicalized_exact_rate_pct,delta_exact_rate_pct,raw_semantic_rate_pct,canonicalized_semantic_rate_pct,form_latency_ms,raw_llm_latency_ms,canonicalized_llm_latency_ms,raw_llm_call_status,canonicalized_llm_call_status
llm_story_01,72.73,100.0,27.27,72.73,100.0,0.154,6330.917,6005.958,ok,ok
llm_story_02,72.73,81.82,9.09,72.73,81.82,0.323,4507.478,5966.144,ok,ok
llm_story_03,90.91,90.91,0.0,90.91,90.91,0.305,4075.94,5466.823,ok,ok
llm_story_04,45.45,72.73,27.28,45.45,72.73,0.481,6349.538,8319.908,ok,ok
llm_story_05,54.55,72.73,18.18,54.55,72.73,0.466,5736.307,7047.796,ok,ok
llm_story_06,36.36,63.64,27.28,36.36,63.64,0.169,6049.397,7570.686,ok,ok
llm_story_07,72.73,100.0,27.27,72.73,100.0,0.125,4997.101,7056.155,ok,ok
llm_story_08,63.64,90.91,27.27,63.64,90.91,0.256,5214.319,6664.664,ok,ok
llm_story_09,72.73,90.91,18.18,72.73,90.91,0.446,4098.988,5227.974,ok,ok
llm_story_10,63.64,81.82,18.18,63.64,81.82,0.239,6265.402,8449.635,ok,ok
llm_story_11,72.73,100.0,27.27,72.73,100.0,0.404,4827.62,6570.893,ok,ok
llm_story_12,72.73,81.82,9.09,72.73,81.82,0.102,6242.17,9389.931,ok,ok
llm_story_13,63.64,90.91,27.27,63.64,90.91,0.225,5085.369,6717.277,ok,ok
llm_story_14,72.73,81.82,9.09,72.73,81.82,0.385,4459.811,6552.35,ok,ok
llm_story_15,54.55,81.82,27.27,54.55,81.82,0.412,5296.442,6808.642,ok,ok
llm_story_16,63.64,81.82,18.18,72.73,90.91,0.445,5438.509,6612.778,ok,ok
llm_story_17,72.73,90.91,18.18,72.73,90.91,0.248,5746.451,7535.07,ok,ok
llm_story_18,54.55,72.73,18.18,54.55,72.73,0.214,8416.617,10711.267,ok,ok
llm_story_19,45.45,72.73,27.28,54.55,81.82,0.435,5806.315,7857.546,ok,ok
llm_story_20,81.82,100.0,18.18,81.82,100.0,0.381,5116.213,7594.248,ok,ok
llm_story_21,72.73,81.82,9.09,72.73,81.82,0.339,5318.015,7275.057,ok,ok
llm_story_22,81.82,90.91,9.09,81.82,90.91,0.492,5087.368,7062.32,ok,ok
llm_story_23,63.64,81.82,18.18,63.64,81.82,0.235,6325.955,8233.011,ok,ok
llm_story_24,72.73,81.82,9.09,72.73,81.82,0.264,6058.452,6284.608,ok,ok
llm_story_25,63.64,90.91,27.27,72.73,90.91,0.245,6864.686,7354.566,ok,ok
llm_story_26,45.45,72.73,27.28,45.45,72.73,0.476,8029.179,9754.123,ok,ok
llm_story_27,72.73,90.91,18.18,72.73,90.91,0.319,11294.074,8207.923,ok,ok
llm_story_28,54.55,81.82,27.27,54.55,81.82,0.393,7743.271,8245.962,ok,ok
llm_story_29,63.64,90.91,27.27,72.73,90.91,0.359,9474.565,8864.609,ok,ok
llm_story_30,54.55,63.64,9.09,54.55,63.64,0.231,10298.045,11756.849,ok,ok
llm_story_31,72.73,100.0,27.27,81.82,100.0,0.182,6429.392,7548.731,ok,ok
llm_story_32,63.64,72.73,9.09,72.73,72.73,0.716,8281.156,8264.172,ok,ok
llm_story_33,72.73,90.91,18.18,72.73,90.91,0.375,7019.321,7977.144,ok,ok
llm_story_34,63.64,90.91,27.27,63.64,90.91,0.207,7325.044,7358.28,ok,ok
llm_story_35,72.73,100.0,27.27,72.73,100.0,1.903,6158.915,6428.169,ok,ok
llm_story_36,72.73,81.82,9.09,72.73,81.82,0.217,11663.486,12664.026,ok,ok
llm_story_37,36.36,63.64,27.28,36.36,63.64,0.479,9279.086,9610.24,ok,ok
llm_story_38,63.64,90.91,27.27,72.73,100.0,0.746,7289.624,7626.619,ok,ok
llm_story_39,54.55,81.82,27.27,54.55,81.82,0.171,6571.753,7060.253,ok,ok
llm_story_40,63.64,90.91,27.27,72.73,100.0,0.437,6363.99,6759.11,ok,ok
llm_story_41,72.73,90.91,18.18,81.82,90.91,0.243,6711.21,7133.65,ok,ok
llm_story_42,54.55,72.73,18.18,63.64,81.82,0.191,7035.293,7138.441,ok,ok
llm_story_43,45.45,72.73,27.28,45.45,72.73,0.496,8198.275,8160.846,ok,ok
llm_story_44,72.73,90.91,18.18,72.73,90.91,0.269,6687.83,7368.401,ok,ok
llm_story_45,72.73,81.82,9.09,81.82,90.91,0.155,6838.329,8729.491,ok,ok
llm_story_46,72.73,90.91,18.18,72.73,90.91,0.229,8011.313,9156.018,ok,ok
llm_story_47,45.45,72.73,27.28,45.45,72.73,0.389,9285.616,9028.885,ok,ok
llm_story_48,63.64,72.73,9.09,63.64,72.73,0.28,7779.209,8259.857,ok,ok
llm_story_49,81.82,90.91,9.09,81.82,90.91,0.653,6032.655,6934.45,ok,ok
llm_story_50,63.64,90.91,27.27,63.64,90.91,0.421,7861.864,10628.557,ok,ok
