story_id,field_name,llm_value,form_value,match_category
llm_story_01,complaint_category,Healthcare,prescription_admin,mismatch
llm_story_01,duration_text,within the next 7 days,,mismatch
llm_story_01,preferred_modalities,"[""phone""]","[""phone""]",exact
llm_story_01,excluded_modalities,[],[],exact
llm_story_01,preferred_days,"[""Thu""]","[""Thu""]",exact
llm_story_01,excluded_days,[],[],exact
llm_story_01,preferred_periods,"[""afternoon""]","[""afternoon""]",exact
llm_story_01,excluded_periods,[],[],exact
llm_story_01,preferred_day_periods,"[""{\""day\"": \""Thu\"", \""period\"": \""afternoon\""}""]","[""{\""day\"": \""Thu\"", \""period\"": \""afternoon\""}""]",exact
llm_story_01,excluded_day_periods,[],[],exact
llm_story_01,date_horizon_days,10,7,mismatch
llm_story_02,complaint_category,medical,tests_monitoring,mismatch
llm_story_02,duration_text,next week,,mismatch
llm_story_02,preferred_modalities,"[""in_person""]","[""in_person""]",exact
llm_story_02,excluded_modalities,"[""phone"", ""video""]","[""phone"", ""video""]",exact
llm_story_02,preferred_days,[],[],exact
llm_story_02,excluded_days,[],[],exact
llm_story_02,preferred_periods,[],"[""morning""]",mismatch
llm_story_02,excluded_periods,[],[],exact
llm_story_02,preferred_day_periods,[],[],exact
llm_story_02,excluded_day_periods,[],[],exact
llm_story_02,date_horizon_days,10,10,exact
llm_story_03,complaint_category,respiratory,respiratory,exact
llm_story_03,duration_text,about two weeks,,mismatch
llm_story_03,preferred_modalities,"[""video""]","[""video""]",exact
llm_story_03,excluded_modalities,[],[],exact
llm_story_03,preferred_days,"[""Wed""]","[""Wed""]",exact
llm_story_03,excluded_days,[],[],exact
llm_story_03,preferred_periods,"[""morning""]","[""morning""]",exact
llm_story_03,excluded_periods,[],[],exact
llm_story_03,preferred_day_periods,"[""{\""day\"": \""Wed\"", \""period\"": \""morning\""}""]","[""{\""day\"": \""Wed\"", \""period\"": \""morning\""}""]",exact
llm_story_03,excluded_day_periods,[],[],exact
llm_story_03,date_horizon_days,10,10,exact
llm_story_04,complaint_category,general,administrative,mismatch
llm_story_04,duration_text,within 5 days,,mismatch
llm_story_04,preferred_modalities,[],"[""phone"", ""video""]",mismatch
llm_story_04,excluded_modalities,[],[],exact
llm_story_04,preferred_days,[],[],exact
llm_story_04,excluded_days,[],[],exact
llm_story_04,preferred_periods,[],"[""afternoon""]",mismatch
llm_story_04,excluded_periods,[],"[""morning""]",mismatch
llm_story_04,preferred_day_periods,[],[],exact
llm_story_04,excluded_day_periods,[],[],exact
llm_story_04,date_horizon_days,10,5,mismatch
llm_story_05,complaint_category,general_query,general_review,mismatch
llm_story_05,duration_text,,,exact
llm_story_05,preferred_modalities,"[""phone""]","[""phone""]",exact
llm_story_05,excluded_modalities,[],[],exact
llm_story_05,preferred_days,"[""Fri"", ""Mon""]","[""Fri"", ""Mon""]",exact
llm_story_05,excluded_days,[],[],exact
llm_story_05,preferred_periods,[],"[""morning""]",mismatch
llm_story_05,excluded_periods,[],[],exact
llm_story_05,preferred_day_periods,[],"[""{\""day\"": \""Fri\"", \""period\"": \""morning\""}"", ""{\""day\"": \""Mon\"", \""period\"": \""morning\""}""]",mismatch
llm_story_05,excluded_day_periods,"[""{\""day\"": \""Fri\"", \""period\"": \""morning\""}""]",[],mismatch
llm_story_05,date_horizon_days,10,8,mismatch
llm_story_06,complaint_category,UTI,urinary,mismatch
llm_story_06,duration_text,next week,,mismatch
llm_story_06,preferred_modalities,[],[],exact
llm_story_06,excluded_modalities,[],[],exact
llm_story_06,preferred_days,"[""Tue""]",[],mismatch
llm_story_06,excluded_days,[],"[""Tue""]",mismatch
llm_story_06,preferred_periods,[],"[""afternoon""]",mismatch
llm_story_06,excluded_periods,[],[],exact
llm_story_06,preferred_day_periods,[],[],exact
llm_story_06,excluded_day_periods,"[""{\""day\"": \""Tue\"", \""period\"": \""afternoon\""}""]",[],mismatch
llm_story_06,date_horizon_days,10,7,mismatch
llm_story_07,complaint_category,Health,prescription_admin,mismatch
llm_story_07,duration_text,within the next 12 days,,mismatch
llm_story_07,preferred_modalities,"[""in_person""]","[""in_person""]",exact
llm_story_07,excluded_modalities,[],[],exact
llm_story_07,preferred_days,[],[],exact
llm_story_07,excluded_days,"[""Mon""]","[""Mon""]",exact
llm_story_07,preferred_periods,[],[],exact
llm_story_07,excluded_periods,[],[],exact
llm_story_07,preferred_day_periods,[],[],exact
llm_story_07,excluded_day_periods,[],[],exact
llm_story_07,date_horizon_days,10,12,mismatch
llm_story_08,complaint_category,persistent_cough,respiratory,mismatch
llm_story_08,duration_text,within_9_days,,mismatch
llm_story_08,preferred_modalities,"[""phone"", ""video""]","[""phone"", ""video""]",exact
llm_story_08,excluded_modalities,[],[],exact
llm_story_08,preferred_days,[],[],exact
llm_story_08,excluded_days,[],[],exact
llm_story_08,preferred_periods,"[""afternoon""]",[],mismatch
llm_story_08,excluded_periods,[],[],exact
llm_story_08,preferred_day_periods,[],[],exact
llm_story_08,excluded_day_periods,"[""{\""day\"": \""Fri\"", \""period\"": \""afternoon\""}""]","[""{\""day\"": \""Fri\"", \""period\"": \""afternoon\""}""]",exact
llm_story_08,date_horizon_days,10,9,mismatch
llm_story_09,complaint_category,general_query,administrative,mismatch
