story_id,form_latency_ms,llm_latency_ms,llm_call_status,exact_matches,partial_matches,mismatches,total_fields,exact_rate_pct,semantic_rate_pct
llm_story_01,0.154,6005.958,ok,11,0,0,11,100.0,100.0
llm_story_02,0.323,5966.144,ok,9,0,2,11,81.82,81.82
llm_story_03,0.305,5466.823,ok,10,0,1,11,90.91,90.91
llm_story_04,0.481,8319.908,ok,8,0,3,11,72.73,72.73
llm_story_05,0.466,7047.796,ok,8,0,3,11,72.73,72.73
llm_story_06,0.169,7570.686,ok,7,0,4,11,63.64,63.64
llm_story_07,0.125,7056.155,ok,11,0,0,11,100.0,100.0
llm_story_08,0.256,6664.664,ok,10,0,1,11,90.91,90.91
llm_story_09,0.446,5227.974,ok,10,0,1,11,90.91,90.91
llm_story_10,0.239,8449.635,ok,9,0,2,11,81.82,81.82
llm_story_11,0.404,6570.893,ok,11,0,0,11,100.0,100.0
llm_story_12,0.102,9389.931,ok,9,0,2,11,81.82,81.82
llm_story_13,0.225,6717.277,ok,10,0,1,11,90.91,90.91
llm_story_14,0.385,6552.35,ok,9,0,2,11,81.82,81.82
llm_story_15,0.412,6808.642,ok,9,0,2,11,81.82,81.82
llm_story_16,0.445,6612.778,ok,9,1,1,11,81.82,90.91
llm_story_17,0.248,7535.07,ok,10,0,1,11,90.91,90.91
llm_story_18,0.214,10711.267,ok,8,0,3,11,72.73,72.73
llm_story_19,0.435,7857.546,ok,8,1,2,11,72.73,81.82
llm_story_20,0.381,7594.248,ok,11,0,0,11,100.0,100.0
llm_story_21,0.339,7275.057,ok,9,0,2,11,81.82,81.82
llm_story_22,0.492,7062.32,ok,10,0,1,11,90.91,90.91
llm_story_23,0.235,8233.011,ok,9,0,2,11,81.82,81.82
llm_story_24,0.264,6284.608,ok,9,0,2,11,81.82,81.82
llm_story_25,0.245,7354.566,ok,10,0,1,11,90.91,90.91
llm_story_26,0.476,9754.123,ok,8,0,3,11,72.73,72.73
llm_story_27,0.319,8207.923,ok,10,0,1,11,90.91,90.91
llm_story_28,0.393,8245.962,ok,9,0,2,11,81.82,81.82
llm_story_29,0.359,8864.609,ok,10,0,1,11,90.91,90.91
llm_story_30,0.231,11756.849,ok,7,0,4,11,63.64,63.64
llm_story_31,0.182,7548.731,ok,11,0,0,11,100.0,100.0
llm_story_32,0.716,8264.172,ok,8,0,3,11,72.73,72.73
llm_story_33,0.375,7977.144,ok,10,0,1,11,90.91,90.91
llm_story_34,0.207,7358.28,ok,10,0,1,11,90.91,90.91
llm_story_35,1.903,6428.169,ok,11,0,0,11,100.0,100.0
llm_story_36,0.217,12664.026,ok,9,0,2,11,81.82,81.82
llm_story_37,0.479,9610.24,ok,7,0,4,11,63.64,63.64
llm_story_38,0.746,7626.619,ok,10,1,0,11,90.91,100.0
llm_story_39,0.171,7060.253,ok,9,0,2,11,81.82,81.82
llm_story_40,0.437,6759.11,ok,10,1,0,11,90.91,100.0
llm_story_41,0.243,7133.65,ok,10,0,1,11,90.91,90.91
llm_story_42,0.191,7138.441,ok,8,1,2,11,72.73,81.82
llm_story_43,0.496,8160.846,ok,8,0,3,11,72.73,72.73
llm_story_44,0.269,7368.401,ok,10,0,1,11,90.91,90.91
llm_story_45,0.155,8729.491,ok,9,1,1,11,81.82,90.91
llm_story_46,0.229,9156.018,ok,10,0,1,11,90.91,90.91
llm_story_47,0.389,9028.885,ok,8,0,3,11,72.73,72.73
llm_story_48,0.28,8259.857,ok,8,0,3,11,72.73,72.73
llm_story_49,0.653,6934.45,ok,10,0,1,11,90.91,90.91
llm_story_50,0.421,10628.557,ok,10,0,1,11,90.91,90.91
