case_id,target_round_bucket,run_index,observed_negotiation_rounds,runtime_ms,final_outcome
runtime_rounds_0,0,1,0,0.867,booked
runtime_rounds_0,0,2,0,0.828,booked
runtime_rounds_0,0,3,0,0.727,booked
runtime_rounds_0,0,4,0,0.63,booked
runtime_rounds_0,0,5,0,0.612,booked
runtime_rounds_0,0,6,0,0.614,booked
runtime_rounds_0,0,7,0,0.804,booked
runtime_rounds_0,0,8,0,0.684,booked
runtime_rounds_0,0,9,0,0.656,booked
runtime_rounds_0,0,10,0,0.678,booked
runtime_rounds_0,0,11,0,0.785,booked
runtime_rounds_0,0,12,0,0.777,booked
runtime_rounds_0,0,13,0,0.62,booked
runtime_rounds_0,0,14,0,0.604,booked
runtime_rounds_0,0,15,0,0.809,booked
runtime_rounds_0,0,16,0,0.673,booked
runtime_rounds_0,0,17,0,0.647,booked
runtime_rounds_0,0,18,0,0.613,booked
runtime_rounds_0,0,19,0,0.636,booked
runtime_rounds_0,0,20,0,0.736,booked
runtime_rounds_0,0,21,0,0.665,booked
runtime_rounds_0,0,22,0,0.646,booked
runtime_rounds_0,0,23,0,0.621,booked
runtime_rounds_0,0,24,0,0.616,booked
runtime_rounds_0,0,25,0,0.936,booked
runtime_rounds_0,0,26,0,0.749,booked
runtime_rounds_0,0,27,0,0.644,booked
runtime_rounds_0,0,28,0,0.639,booked
runtime_rounds_0,0,29,0,0.848,booked
runtime_rounds_0,0,30,0,0.763,booked
runtime_rounds_0,0,31,0,0.679,booked
runtime_rounds_0,0,32,0,0.62,booked
runtime_rounds_0,0,33,0,0.837,booked
runtime_rounds_0,0,34,0,0.772,booked
runtime_rounds_0,0,35,0,0.675,booked
runtime_rounds_0,0,36,0,0.621,booked
runtime_rounds_0,0,37,0,0.626,booked
runtime_rounds_0,0,38,0,0.775,booked
runtime_rounds_0,0,39,0,0.987,booked
runtime_rounds_0,0,40,0,0.715,booked
runtime_rounds_0,0,41,0,0.899,booked
runtime_rounds_0,0,42,0,0.74,booked
runtime_rounds_0,0,43,0,0.657,booked
runtime_rounds_0,0,44,0,0.643,booked
runtime_rounds_0,0,45,0,0.625,booked
runtime_rounds_0,0,46,0,0.858,booked
runtime_rounds_0,0,47,0,0.751,booked
runtime_rounds_0,0,48,0,0.644,booked
runtime_rounds_0,0,49,0,2.271,booked
runtime_rounds_0,0,50,0,0.82,booked
runtime_rounds_1,1,1,1,0.957,booked
runtime_rounds_1,1,2,1,0.919,booked
runtime_rounds_1,1,3,1,1.019,booked
runtime_rounds_1,1,4,1,1.134,booked
runtime_rounds_1,1,5,1,0.888,booked
runtime_rounds_1,1,6,1,1.287,booked
runtime_rounds_1,1,7,1,1.176,booked
runtime_rounds_1,1,8,1,1.003,booked
runtime_rounds_1,1,9,1,1.011,booked
runtime_rounds_1,1,10,1,1.277,booked
runtime_rounds_1,1,11,1,1.024,booked
runtime_rounds_1,1,12,1,0.904,booked
runtime_rounds_1,1,13,1,0.842,booked
runtime_rounds_1,1,14,1,1.131,booked
runtime_rounds_1,1,15,1,0.945,booked
runtime_rounds_1,1,16,1,0.885,booked
runtime_rounds_1,1,17,1,0.849,booked
runtime_rounds_1,1,18,1,1.126,booked
runtime_rounds_1,1,19,1,1.073,booked
runtime_rounds_1,1,20,1,0.947,booked
runtime_rounds_1,1,21,1,1.242,booked
runtime_rounds_1,1,22,1,1.085,booked
runtime_rounds_1,1,23,1,0.955,booked
runtime_rounds_1,1,24,1,0.883,booked
runtime_rounds_1,1,25,1,0.866,booked
runtime_rounds_1,1,26,1,0.963,booked
runtime_rounds_1,1,27,1,1.072,booked
runtime_rounds_1,1,28,1,0.884,booked
runtime_rounds_1,1,29,1,1.822,booked
runtime_rounds_1,1,30,1,1.086,booked
runtime_rounds_1,1,31,1,1.032,booked
runtime_rounds_1,1,32,1,1.005,booked
runtime_rounds_1,1,33,1,7.761,booked
runtime_rounds_1,1,34,1,1.243,booked
runtime_rounds_1,1,35,1,1.165,booked
runtime_rounds_1,1,36,1,1.139,booked
runtime_rounds_1,1,37,1,1.295,booked
runtime_rounds_1,1,38,1,1.094,booked
runtime_rounds_1,1,39,1,1.093,booked
runtime_rounds_1,1,40,1,0.971,booked
runtime_rounds_1,1,41,1,0.894,booked
runtime_rounds_1,1,42,1,0.95,booked
runtime_rounds_1,1,43,1,1.044,booked
runtime_rounds_1,1,44,1,0.936,booked
runtime_rounds_1,1,45,1,0.987,booked
runtime_rounds_1,1,46,1,1.583,booked
runtime_rounds_1,1,47,1,1.035,booked
runtime_rounds_1,1,48,1,0.949,booked
runtime_rounds_1,1,49,1,0.881,booked
runtime_rounds_1,1,50,1,0.936,booked
runtime_rounds_2,2,1,2,1.384,booked
runtime_rounds_2,2,2,2,1.39,booked
runtime_rounds_2,2,3,2,1.268,booked
runtime_rounds_2,2,4,2,1.466,booked
runtime_rounds_2,2,5,2,1.3,booked
runtime_rounds_2,2,6,2,1.215,booked
runtime_rounds_2,2,7,2,1.454,booked
runtime_rounds_2,2,8,2,1.351,booked
runtime_rounds_2,2,9,2,1.431,booked
runtime_rounds_2,2,10,2,3.211,booked
runtime_rounds_2,2,11,2,1.356,booked
runtime_rounds_2,2,12,2,1.236,booked
runtime_rounds_2,2,13,2,1.246,booked
runtime_rounds_2,2,14,2,1.329,booked
runtime_rounds_2,2,15,2,1.396,booked
runtime_rounds_2,2,16,2,1.469,booked
runtime_rounds_2,2,17,2,1.321,booked
runtime_rounds_2,2,18,2,1.285,booked
runtime_rounds_2,2,19,2,1.359,booked
runtime_rounds_2,2,20,2,1.339,booked
runtime_rounds_2,2,21,2,1.247,booked
runtime_rounds_2,2,22,2,1.263,booked
runtime_rounds_2,2,23,2,1.58,booked
runtime_rounds_2,2,24,2,1.297,booked
runtime_rounds_2,2,25,2,1.202,booked
runtime_rounds_2,2,26,2,1.318,booked
runtime_rounds_2,2,27,2,1.291,booked
runtime_rounds_2,2,28,2,1.205,booked
runtime_rounds_2,2,29,2,1.469,booked
runtime_rounds_2,2,30,2,1.322,booked
runtime_rounds_2,2,31,2,1.221,booked
runtime_rounds_2,2,32,2,1.227,booked
runtime_rounds_2,2,33,2,1.322,booked
runtime_rounds_2,2,34,2,1.214,booked
runtime_rounds_2,2,35,2,1.968,booked
runtime_rounds_2,2,36,2,1.462,booked
runtime_rounds_2,2,37,2,1.29,booked
runtime_rounds_2,2,38,2,1.242,booked
runtime_rounds_2,2,39,2,1.399,booked
runtime_rounds_2,2,40,2,1.206,booked
runtime_rounds_2,2,41,2,1.183,booked
runtime_rounds_2,2,42,2,1.988,booked
runtime_rounds_2,2,43,2,1.589,booked
runtime_rounds_2,2,44,2,1.288,booked
runtime_rounds_2,2,45,2,1.257,booked
runtime_rounds_2,2,46,2,1.309,booked
runtime_rounds_2,2,47,2,1.238,booked
runtime_rounds_2,2,48,2,1.196,booked
runtime_rounds_2,2,49,2,1.557,booked
runtime_rounds_2,2,50,2,1.394,booked
runtime_rounds_3,3,1,2,1.226,failed
runtime_rounds_3,3,2,2,1.132,failed
runtime_rounds_3,3,3,2,1.051,failed
runtime_rounds_3,3,4,2,0.984,failed
runtime_rounds_3,3,5,2,1.064,failed
runtime_rounds_3,3,6,2,1.322,failed
runtime_rounds_3,3,7,2,7.851,failed
runtime_rounds_3,3,8,2,1.084,failed
runtime_rounds_3,3,9,2,1.033,failed
runtime_rounds_3,3,10,2,1.312,failed
runtime_rounds_3,3,11,2,1.249,failed
runtime_rounds_3,3,12,2,1.048,failed
runtime_rounds_3,3,13,2,1.214,failed
runtime_rounds_3,3,14,2,1.054,failed
runtime_rounds_3,3,15,2,0.987,failed
runtime_rounds_3,3,16,2,0.986,failed
runtime_rounds_3,3,17,2,1.245,failed
runtime_rounds_3,3,18,2,1.085,failed
runtime_rounds_3,3,19,2,1.136,failed
runtime_rounds_3,3,20,2,1.224,failed
runtime_rounds_3,3,21,2,1.127,failed
runtime_rounds_3,3,22,2,1.009,failed
runtime_rounds_3,3,23,2,1.093,failed
runtime_rounds_3,3,24,2,1.303,failed
runtime_rounds_3,3,25,2,1.236,failed
runtime_rounds_3,3,26,2,1.018,failed
runtime_rounds_3,3,27,2,1.043,failed
runtime_rounds_3,3,28,2,1.166,failed
runtime_rounds_3,3,29,2,1.123,failed
runtime_rounds_3,3,30,2,0.989,failed
runtime_rounds_3,3,31,2,1.378,failed
runtime_rounds_3,3,32,2,1.03,failed
runtime_rounds_3,3,33,2,1.049,failed
runtime_rounds_3,3,34,2,1.232,failed
runtime_rounds_3,3,35,2,1.265,failed
runtime_rounds_3,3,36,2,1.149,failed
runtime_rounds_3,3,37,2,1.439,failed
runtime_rounds_3,3,38,2,1.113,failed
runtime_rounds_3,3,39,2,1.291,failed
runtime_rounds_3,3,40,2,1.179,failed
runtime_rounds_3,3,41,2,1.113,failed
runtime_rounds_3,3,42,2,1.009,failed
runtime_rounds_3,3,43,2,1.32,failed
runtime_rounds_3,3,44,2,1.384,failed
runtime_rounds_3,3,45,2,1.211,failed
runtime_rounds_3,3,46,2,1.19,failed
runtime_rounds_3,3,47,2,1.047,failed
runtime_rounds_3,3,48,2,1.153,failed
runtime_rounds_3,3,49,2,1.333,failed
runtime_rounds_3,3,50,2,1.013,failed
